Day fraction since midnight on	t (s)	photometer (mg/L)	photometer (volts)
0.6523598298	625	1.916364551	2.852465391
0.6523713962	626	1.927192688	2.847471714
0.6523829625	627	1.889069438	2.86507988
0.6523945517	628	1.886511803	2.866263866
0.6524061184	629	1.882883072	2.867944241
0.6524176847	630	1.870930195	2.873484135
0.6524292742	631	1.860561132	2.878295898
0.6524408403	632	1.851392865	2.882555008
0.652452407	633	1.866008282	2.875767469
0.6524639962	634	1.845331788	2.885373116
0.6524755629	635	1.84480536	2.885617971
0.6524871293	636	1.819228768	2.897531271
0.6524987188	637	1.82685709	2.893974543
0.6525102851	638	1.811247349	2.901255846
0.6525218512	639	1.794725061	2.908976555
0.652533441	640	1.808178663	2.902688742
