Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6511243620	42.1723632813	-1.2614895105
0.6511359307	42.2063674927	-1.2616699934
0.6511474968	42.1917991638	-1.2615927458
0.6511590892	42.2481651306	-1.2618908882
0.6511706555	42.2407760620	-1.2618519068
0.6511822216	42.2928810120	-1.2621260881
0.6511937880	42.2897224426	-1.2621095181
0.6512053792	42.3069534302	-1.2621998787
0.6512169456	42.3189544678	-1.2622627020
0.6512285278	42.3191146851	-1.2622635365
0.6512400942	42.3118705750	-1.2622256279
0.6512516911	42.3524436951	-1.2624375820
0.6512632348	42.3808250427	-1.2625852823
0.6512748275	42.3689956665	-1.2625237703
0.6512863939	42.4199600220	-1.2627881765
0.6512979716	42.3881950378	-1.2626235485
0.6513095381	42.4516983032	-1.2629520893
0.6513211152	42.5004348755	-1.2632026672
0.6513326816	42.4785614014	-1.2630903721
0.6513442724	42.4976692200	-1.2631884813
0.6513558388	42.4941864014	-1.2631705999
0.6513674176	42.5474281311	-1.2634429932
0.6513789840	42.5225257874	-1.2633157969
0.6513905630	42.5652084351	-1.2635335922
0.6514021294	42.5767593384	-1.2635923624
0.6514137219	42.5707588196	-1.2635618448
0.6514252883	42.6238479614	-1.2638311386
0.6514368621	42.6038093567	-1.2637296915
0.6514484285	42.6337280273	-1.2638810873
0.6514600229	42.6742134094	-1.2640851736
0.6514715893	42.6829872131	-1.2641292810
0.6514831616	42.6834869385	-1.2641317844
0.6514947277	42.6913642883	-1.2641713619
0.6515063014	42.7199058533	-1.2643144131
0.6515178681	42.7096443176	-1.2642630339
0.6515294594	42.7449302673	-1.2644394636
0.6515410258	42.7420883179	-1.2644252777
0.6515525951	42.7671966553	-1.2645504475
0.6515641612	42.7634620667	-1.2645318508
0.6515757386	42.8158226013	-1.2647918463
0.6515873281	42.8134155273	-1.2647799253
0.6515988858	42.8007392883	-1.2647171021
0.6516104753	42.8373718262	-1.2648984194
0.6516220468	42.8312911987	-1.2648683786
0.6516336133	42.8757553101	-1.2650876045
0.6516451838	42.8729896545	-1.2650740147
0.6516567733	42.8986625671	-1.2652001381
0.6516683456	42.9600067139	-1.2655000687
0.6516799123	42.9163208008	-1.2652866840
0.6516914985	42.9617919922	-1.2655087709
0.6517030649	42.9599800110	-1.2654999495
0.6517146587	42.9766311646	-1.2655810118
0.6517262020	42.9981269836	-1.2656854391
0.6517377963	43.0333290100	-1.2658559084
0.6517493627	43.0313339233	-1.2658462524
0.6517609555	43.0584983826	-1.2659773827
0.6517724989	43.0468063354	-1.2659209967
0.6517840899	43.0858955383	-1.2661092281
0.6517956563	43.0645599365	-1.2660065889
0.6518072326	43.0817031860	-1.2660890818
0.6518188218	43.1037483215	-1.2661949396
0.6518303685	43.0962944031	-1.2661591768
0.6518419580	43.1186027527	-1.2662661076
0.6518535307	43.1424865723	-1.2663803101
0.6518650968	43.1603775024	-1.2664656639
0.6518766731	43.2030525208	-1.2666685581
0.6518882395	43.1815376282	-1.2665663958
0.6518998312	43.2076263428	-1.2666902542
0.6519114207	43.2337913513	-1.2668141127
0.6519229783	43.2412071228	-1.2668491602
0.6519345447	43.2258758545	-1.2667766809
0.6519461131	43.2982521057	-1.2671177387
0.6519577029	43.2481269836	-1.2668818235
0.6519692575	43.2759780884	-1.2670130730
0.6519808470	43.3015060425	-1.2671329975
0.6519924183	43.3024940491	-1.2671376467
